"X","Y","Z"
1481.49,1294.79,97.29
1481.50,1294.81,97.31
1481.47,1294.81,97.30
1481.49,1294.82,97.29
1481.48,1294.80,97.29
1481.49,1294.80,97.30
1481.50,1294.80,97.30
1481.47,1294.79,97.27
1481.50,1294.79,97.29
1481.51,1294.80,97.29
1481.50,1294.79,97.29
1481.51,1294.78,97.28
1481.53,1294.81,97.30
1481.55,1294.80,97.29
1481.24,1294.95,97.29
1481.25,1294.93,97.30
1481.48,1294.78,97.27
1481.50,1294.80,97.28
1481.55,1294.80,97.27
1481.47,1294.81,97.27
1481.47,1294.80,97.27
1481.52,1294.80,97.26
1481.49,1294.80,97.26
1481.50,1294.80,97.25
1481.48,1294.83,97.26
1481.47,1294.88,97.26
1481.44,1294.87,97.26
1481.40,1294.83,97.28
1481.35,1294.81,97.26
1481.35,1294.80,97.26
1481.37,1294.80,97.26
1481.37,1294.80,97.26
1481.40,1294.89,97.28
1481.38,1294.87,97.28
1481.41,1294.90,97.27
1481.43,1294.89,97.26
1481.42,1294.88,97.26
1481.41,1294.87,97.27
1481.39,1294.87,97.27
1481.38,1294.83,97.28
1481.38,1294.84,97.27
1481.39,1294.80,97.25
1481.39,1294.83,97.27
1481.39,1294.82,97.25
1481.38,1294.85,97.28
1481.38,1294.87,97.27
1481.39,1294.88,97.28
1481.39,1294.86,97.28
1481.37,1294.88,97.27
1481.41,1294.86,97.27
1481.40,1294.84,97.27
1481.41,1294.86,97.27
1481.38,1294.85,97.27
1481.42,1294.84,97.28
1481.44,1294.89,97.26
1481.40,1294.86,97.27
1481.39,1294.87,97.27
1481.37,1294.87,97.28
1481.39,1294.87,97.28
1481.37,1294.87,97.27
1481.38,1294.86,97.28
1481.41,1294.87,97.26
1481.41,1294.88,97.27
1481.40,1294.87,97.27
1481.41,1294.87,97.27
1481.41,1294.86,97.26
1481.41,1294.85,97.27
1481.40,1294.83,97.28
1481.39,1294.84,97.27
1481.42,1294.89,97.26
1481.40,1294.85,97.27
1481.41,1294.86,97.26
1481.52,1294.85,97.25
1481.32,1294.72,97.24
1481.86,1294.90,97.25
1481.75,1294.59,97.22
1481.74,1294.95,97.22
1481.51,1294.80,97.24
1481.53,1294.78,97.23
1481.78,1294.86,97.21
1481.61,1294.82,97.24
1481.62,1294.81,97.24
1481.70,1294.84,97.22
1481.66,1294.89,97.24
1481.69,1294.87,97.24
1481.61,1294.85,97.25
1481.62,1294.83,97.25
1481.61,1294.82,97.24
1481.68,1294.85,97.23
1481.67,1294.85,97.24
1481.66,1294.88,97.23
1481.67,1294.90,97.21
1481.67,1294.88,97.23
1481.66,1294.87,97.23
1481.64,1294.88,97.22
1481.64,1294.86,97.24
1481.62,1294.87,97.24
1481.62,1294.87,97.23
1481.60,1294.86,97.24
1481.63,1294.87,97.23
1481.63,1294.88,97.21
1481.61,1294.86,97.23
1481.62,1294.83,97.23
1481.63,1294.85,97.24
1481.65,1294.82,97.22
1481.63,1294.84,97.23
1481.64,1294.85,97.23
1481.63,1294.81,97.22
1481.64,1294.82,97.22
1481.65,1294.83,97.23
1481.62,1294.83,97.21
1481.62,1294.84,97.22
1481.62,1294.84,97.22
1481.61,1294.83,97.21
1481.58,1294.84,97.22
1481.59,1294.85,97.22
1481.59,1294.82,97.21
1481.63,1294.85,97.21
1481.54,1294.96,97.25
1481.16,1294.69,97.24
1481.27,1294.74,97.21
1481.23,1294.84,97.20
1481.25,1294.86,97.21
1481.23,1294.90,97.21
1481.47,1294.84,97.24
1481.44,1294.81,97.23
1481.45,1294.81,97.23
1481.44,1294.78,97.23
1481.46,1294.86,97.23
1481.44,1294.88,97.23
1481.40,1294.81,97.23
1481.36,1294.79,97.24
1481.40,1294.80,97.23
1481.41,1294.80,97.23
1481.48,1294.76,97.22
1481.38,1294.76,97.22
1481.36,1294.78,97.22
1481.37,1294.76,97.23
1481.42,1294.84,97.22
1481.43,1294.85,97.23
1481.44,1294.86,97.22
1481.36,1294.75,97.23
1481.46,1294.79,97.23
1481.38,1294.76,97.22
1481.39,1294.78,97.22
1481.41,1294.86,97.23
1481.42,1294.86,97.23
1481.41,1294.86,97.23
1481.41,1294.85,97.23
1481.42,1294.83,97.22
1481.37,1294.76,97.21
1481.38,1294.77,97.22
1481.38,1294.77,97.22
1481.78,1294.93,97.17
1481.74,1294.80,97.18
1481.66,1294.87,97.17
1481.10,1294.98,97.37
1481.12,1294.98,97.36
1481.96,1294.67,97.15
1481.94,1294.93,97.14
1481.74,1294.85,97.16
1481.81,1294.91,97.16
1481.83,1294.91,97.16
1481.71,1294.57,97.14
1481.66,1294.88,97.15
1481.82,1294.91,97.15
1481.47,1294.73,97.16
1481.48,1294.72,97.14
1481.28,1294.86,97.18
1481.21,1294.81,97.16
1481.25,1294.92,97.25
1481.28,1294.95,97.25
1481.50,1294.59,97.10
1481.60,1294.58,97.10
1481.87,1294.60,97.12
1481.76,1294.84,97.11
1481.68,1294.85,97.12
1481.79,1294.94,97.12
1481.79,1294.92,97.12
1481.41,1294.99,97.32
1481.38,1294.99,97.34
1481.70,1294.88,97.11
1481.71,1294.84,97.11
1481.76,1294.87,97.11
1481.78,1294.88,97.11
1481.38,1294.97,97.33
1481.38,1294.98,97.33
1481.38,1294.97,97.33
1481.41,1294.99,97.31
1481.39,1294.98,97.30
1481.99,1294.86,97.11
1481.96,1294.83,97.11
1481.96,1294.82,97.11
1481.37,1294.65,97.10
1481.41,1294.76,97.10
1481.34,1294.86,97.12
1481.36,1294.87,97.13
1481.94,1294.82,97.08
1481.52,1294.70,97.09
1481.54,1294.71,97.09
1481.55,1294.70,97.08
1481.09,1294.53,97.03
1481.11,1294.55,97.05
1481.04,1294.60,97.00
1481.01,1294.60,97.00
1481.02,1294.30,97.03
1481.03,1294.32,97.02
1481.05,1294.31,97.00
1481.61,1294.33,97.02
1481.03,1294.61,96.99
1481.68,1294.99,97.42
1482.49,1294.75,99.02
1482.50,1294.72,99.00
1482.78,1294.63,98.69
1482.78,1294.61,98.69
1482.78,1294.73,98.36
1482.76,1294.73,98.36
1482.85,1294.72,98.35
1482.85,1294.73,98.35
1482.19,1294.73,98.35
1482.23,1294.74,98.33
1482.93,1294.66,98.27
1482.92,1294.67,98.27
1482.92,1294.64,98.28
1482.94,1294.63,98.27
1482.61,1294.56,98.17
1482.65,1294.53,98.16
1482.18,1294.55,98.07
1482.75,1294.86,97.96
1482.78,1294.93,97.97
1482.95,1294.99,97.94
1482.61,1294.74,97.94
1482.63,1294.72,97.93
1482.80,1294.94,97.91
1482.78,1294.90,97.90
1482.99,1294.99,97.92
1482.95,1294.97,97.92
1482.85,1294.95,97.89
1482.84,1294.96,97.89
1482.78,1294.96,97.90
1482.79,1294.95,97.89
1482.35,1294.63,97.93
1482.33,1294.64,97.90
1482.54,1294.92,97.89
1482.51,1294.96,97.92
1482.48,1294.95,97.89
1482.04,1294.57,97.88
1482.06,1294.58,97.87
1482.45,1294.88,97.89
1482.46,1294.87,97.89
1482.47,1294.94,97.89
1482.47,1294.93,97.89
1482.46,1294.92,97.88
1482.47,1294.91,97.88
1482.42,1294.97,97.87
1482.42,1294.97,97.87
1482.06,1294.72,97.85
1482.08,1294.75,97.84
1482.42,1294.98,97.86
1482.42,1294.98,97.86
1482.56,1294.96,97.90
1482.93,1294.62,97.87
1482.92,1294.61,97.86
1482.75,1294.96,97.89
1482.77,1294.94,97.89
1482.78,1294.93,97.89
1482.77,1294.93,97.89
1482.76,1294.94,97.89
1482.78,1294.95,97.88
1482.80,1294.94,97.88
1482.84,1294.95,97.89
1482.83,1294.96,97.90
1482.57,1294.93,97.86
1482.59,1294.96,97.87
1482.61,1294.91,97.86
1482.59,1294.92,97.87
1482.67,1294.94,97.87
1482.81,1294.93,97.89
1482.76,1294.96,97.89
1482.76,1294.95,97.89
1482.81,1294.92,97.89
1482.80,1294.91,97.89
1482.81,1294.97,97.89
1482.82,1294.93,97.88
1482.83,1294.95,97.89
1482.85,1294.97,97.87
1482.91,1294.64,97.85
1482.93,1294.63,97.85
1482.99,1294.98,97.88
1482.93,1294.68,97.84
1482.92,1294.67,97.85
1482.59,1294.85,97.84
1482.92,1294.68,97.82
1482.16,1294.83,97.77
1482.18,1294.78,97.79
1482.96,1294.83,97.75
1482.99,1294.82,97.78
1482.95,1294.82,97.70
1482.76,1294.99,97.89
1482.79,1294.99,97.90
1482.64,1295.00,97.86
1482.64,1294.99,97.86
1482.46,1294.86,97.62
1482.47,1294.86,97.62
1482.81,1294.71,97.64
1482.20,1294.93,97.60
1482.84,1294.94,97.62
1482.84,1294.95,97.62
1482.27,1294.94,97.56
1482.31,1294.95,97.56
1482.43,1294.67,97.56
1482.40,1294.68,97.55
1482.42,1294.67,97.55
1482.64,1294.74,97.57
1482.26,1294.61,97.51
1482.25,1294.64,97.51
1482.53,1294.95,97.53
1482.09,1294.75,97.39
1482.25,1294.72,97.36
1482.26,1295.00,97.37
1482.26,1294.96,97.36
1482.11,1294.91,97.38
1482.12,1294.92,97.38
1482.24,1294.72,97.35
1482.08,1294.96,97.35
1482.07,1294.95,97.31
1482.36,1294.62,97.34
1482.21,1294.72,97.31
1482.48,1294.60,97.32
1482.33,1294.99,97.31
1482.08,1294.98,97.31
1482.11,1294.67,97.29
1482.26,1294.97,97.24
1482.24,1294.81,97.29
1482.27,1294.67,97.29
1482.32,1294.82,97.28
1482.42,1294.86,97.28
1482.43,1294.86,97.27
1482.17,1294.80,97.29
1482.20,1294.68,97.29
