"X","Y","Z"
1483.18,1294.66,97.33
1483.42,1294.94,97.33
1483.38,1295.02,97.35
1483.11,1294.79,97.33
1483.08,1294.80,97.34
1483.11,1294.76,97.34
1483.38,1294.86,97.35
1483.96,1294.80,97.34
1483.91,1294.79,97.33
1483.91,1294.81,97.34
1483.68,1294.75,97.32
1483.70,1294.76,97.32
1483.66,1294.73,97.30
1483.63,1294.73,97.29
1483.90,1294.98,97.32
1483.89,1295.01,97.33
1483.20,1294.88,97.25
1483.19,1294.88,97.26
1483.15,1294.94,97.26
1483.18,1294.97,97.25
1483.47,1294.78,97.26
1483.43,1294.84,97.22
1483.11,1294.89,97.21
1483.55,1294.55,97.27
1483.56,1294.56,97.28
1483.66,1294.77,97.25
1483.65,1294.77,97.26
1483.15,1294.67,97.12
1483.16,1294.66,97.12
1484.14,1294.94,98.29
1484.13,1294.93,98.29
1484.38,1294.70,98.27
1484.39,1294.69,98.27
1484.13,1294.84,98.29
1484.13,1294.90,98.27
1484.24,1294.58,98.27
1484.25,1294.59,98.26
1484.24,1294.74,98.26
1484.25,1294.75,98.26
1484.25,1294.78,98.26
1484.25,1294.80,98.26
1484.24,1294.79,98.26
1484.21,1294.86,98.26
1484.20,1294.87,98.26
1484.22,1294.86,98.26
1484.21,1294.89,98.26
1484.26,1294.89,98.26
1484.24,1294.88,98.26
1484.32,1294.93,98.25
1484.31,1294.93,98.25
1484.33,1294.94,98.25
1484.33,1294.91,98.25
1484.30,1294.94,98.25
1484.32,1294.93,98.25
1484.34,1294.91,98.25
1484.35,1294.89,98.25
1484.41,1294.98,98.23
1484.43,1294.98,98.24
1484.47,1294.82,98.22
1484.45,1294.86,98.23
1484.48,1294.85,98.22
1484.49,1294.80,98.22
1484.52,1294.88,98.23
1484.54,1294.88,98.23
1484.56,1294.96,98.21
1484.58,1294.95,98.22
1484.64,1294.95,98.22
1484.51,1294.94,98.22
1484.63,1294.92,98.21
1484.59,1294.90,98.21
1484.62,1294.86,98.21
1484.60,1294.88,98.21
1484.62,1294.83,98.22
1484.67,1294.97,98.22
1484.69,1294.95,98.22
1484.63,1294.86,98.21
1484.71,1294.84,98.21
1484.70,1294.86,98.21
1484.61,1294.82,98.21
1484.68,1294.93,98.20
1484.64,1294.88,98.21
1484.60,1294.61,98.21
1484.61,1294.60,98.20
1484.72,1294.59,98.19
1484.67,1294.76,98.22
1484.66,1294.78,98.22
1484.68,1294.80,98.21
1484.70,1294.78,98.22
1484.70,1294.79,98.21
1484.67,1294.65,98.20
1484.67,1294.67,98.20
1484.69,1294.66,98.20
1484.67,1294.65,98.20
1484.79,1294.85,98.21
1484.80,1294.82,98.21
1484.81,1294.83,98.22
1484.81,1294.82,98.21
1484.81,1294.84,98.21
1484.76,1294.63,98.19
1484.72,1294.65,98.20
1484.68,1294.77,98.22
1484.70,1294.78,98.21
1484.69,1294.79,98.21
1484.99,1294.84,98.22
1485.00,1294.84,98.22
1484.53,1294.99,98.19
1484.51,1294.99,98.19
1484.22,1294.65,98.16
1484.18,1294.74,98.15
1484.83,1294.76,98.19
1484.95,1294.67,98.18
1484.66,1294.66,98.18
1484.83,1294.68,98.19
1484.84,1294.68,98.18
1484.85,1294.68,98.17
1484.87,1294.57,98.08
1484.93,1294.81,98.11
1484.88,1294.72,98.10
1484.93,1294.82,98.11
1484.46,1294.74,98.10
1484.56,1294.60,98.09
1484.31,1294.56,98.08
1484.29,1294.58,98.07
1484.49,1294.81,98.04
1484.50,1294.78,98.05
1484.95,1294.80,97.95
1484.54,1294.90,97.86
1484.54,1294.88,97.87
1484.68,1294.95,97.80
1484.56,1294.69,97.61
1484.55,1294.67,97.61
1484.06,1294.91,97.62
1484.03,1294.92,97.55
1484.01,1294.89,97.55
1484.42,1294.96,97.55
1484.45,1294.94,97.55
1484.33,1294.91,97.56
1484.07,1294.98,97.54
1484.03,1294.95,97.54
1484.78,1294.88,97.53
1484.79,1294.86,97.50
1484.72,1294.74,97.48
1484.40,1294.86,97.43
1484.42,1294.88,97.44
1484.25,1294.82,97.44
1484.26,1294.85,97.44
1484.16,1294.70,97.35
1484.01,1294.83,97.34
1483.98,1294.86,97.35
1484.65,1294.66,97.38
1484.74,1294.80,97.36
1484.84,1294.91,97.34
1484.95,1294.75,97.31
1484.94,1294.72,97.33
1484.96,1294.60,97.35
1484.63,1294.78,97.37
1484.84,1294.81,97.31
1484.87,1294.93,97.32
1484.62,1294.79,97.24
1484.84,1294.76,97.24
1484.07,1294.84,97.24
1484.08,1294.87,97.25
1484.45,1294.98,97.21
1484.35,1294.82,97.21
1484.35,1294.73,97.18
1484.32,1294.74,97.17
1484.72,1294.66,97.14
1484.93,1294.77,97.15
1484.91,1294.75,97.12
1484.96,1294.77,97.14
1484.98,1294.78,97.13
1484.97,1294.79,97.11
1484.94,1294.76,97.10
1479.98,1298.48,98.71
1479.98,1298.46,98.71
1480.00,1298.48,98.70
1479.99,1298.50,98.70
1480.03,1298.61,98.71
1480.02,1298.60,98.71
1480.04,1298.52,98.70
1480.04,1298.62,98.71
1480.03,1298.57,98.71
1480.02,1298.54,98.70
1480.13,1298.58,98.72
1480.11,1298.62,98.71
1480.10,1298.58,98.71
1480.13,1298.55,98.70
1480.05,1298.45,98.68
1480.07,1298.85,98.51
1480.04,1298.84,98.51
1480.00,1298.95,98.43
1480.04,1298.91,98.44
1480.08,1298.86,98.44
1480.04,1298.53,98.41
1480.40,1297.73,97.85
1480.38,1297.72,97.84
1480.36,1297.60,97.75
1480.30,1297.58,97.76
1480.20,1297.42,97.53
1480.22,1297.44,97.53
1480.78,1296.62,98.57
1481.21,1295.31,98.52
1481.80,1295.72,98.52
1481.83,1295.73,98.50
1481.34,1295.93,98.51
1481.35,1295.93,98.51
1481.35,1295.35,98.51
1481.33,1295.34,98.51
1481.04,1295.73,98.50
1481.10,1295.81,98.49
1481.12,1295.82,98.49
1481.34,1295.58,98.49
1481.37,1295.00,98.45
1481.37,1295.01,98.45
1481.39,1295.17,98.46
1481.40,1295.19,98.46
1481.84,1295.43,98.45
1481.85,1295.46,98.45
1481.72,1295.46,98.45
1481.78,1295.46,98.45
1481.28,1295.64,98.48
1481.26,1295.63,98.49
1481.66,1295.36,98.44
1481.69,1295.39,98.46
1480.98,1295.90,98.50
1481.00,1295.89,98.50
1481.65,1295.32,98.45
1481.66,1295.33,98.46
1481.14,1295.60,98.49
1481.16,1295.60,98.48
1481.10,1295.73,98.50
1481.11,1295.73,98.50
1481.31,1295.54,98.48
1481.32,1295.54,98.48
1480.87,1295.95,98.50
1480.89,1295.96,98.49
1480.92,1295.97,98.49
1480.92,1295.95,98.49
1481.02,1295.95,98.49
1481.01,1295.94,98.49
1481.65,1295.78,98.47
1481.70,1295.77,98.46
1481.69,1295.72,98.46
1481.66,1295.77,98.48
1480.99,1295.29,98.41
1481.03,1295.38,98.41
1481.68,1295.41,98.41
1481.71,1295.43,98.41
1481.87,1295.54,98.32
1481.84,1295.48,98.32
1481.35,1295.67,98.25
1481.36,1295.65,98.25
1481.92,1295.88,98.22
1481.89,1295.88,98.22
1481.92,1295.88,98.22
1481.83,1295.88,98.22
1481.33,1295.78,98.17
1481.92,1295.78,98.25
1481.89,1295.77,98.25
1481.83,1295.16,98.20
1481.60,1295.93,98.16
1481.59,1295.93,98.16
1481.79,1295.08,98.19
1481.18,1295.12,98.11
1481.16,1295.08,98.10
1481.50,1295.17,98.13
1481.58,1295.04,98.11
1481.03,1295.68,98.11
1481.03,1295.67,98.10
1481.03,1295.65,98.10
1481.56,1295.86,97.97
1481.60,1295.20,97.83
1481.59,1295.20,97.83
1481.61,1295.30,97.82
1481.60,1295.30,97.82
1481.57,1295.27,97.80
1481.58,1295.27,97.80
1481.68,1295.76,97.79
1481.69,1295.73,97.81
1481.71,1295.66,97.80
1481.83,1295.78,97.81
1481.78,1295.74,97.79
1481.73,1295.30,97.76
1481.76,1295.28,97.78
1481.78,1295.85,97.73
1481.29,1295.31,97.68
1481.33,1295.41,97.68
1481.23,1295.58,97.67
1481.43,1295.22,97.67
1481.40,1295.27,97.65
1481.31,1295.22,97.65
1481.43,1295.21,97.67
1481.07,1295.27,97.59
1481.08,1295.26,97.60
1481.06,1295.41,97.58
1481.21,1295.08,97.57
1481.09,1295.09,97.58
1481.23,1295.36,97.55
1481.22,1295.42,97.55
1481.46,1295.10,97.50
1481.32,1295.60,97.51
